Column Name, P-value, KS Score, Group 1Min, Group 1Q1, Group 1Median, Group 1Q3, Group 1Max, Group 2Min, Group 2Q1, Group 2Median, Group 2Q3, Group 2Max
Column_378, 0.31536395612605395, 0.1515151515151537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
Column_788, 0.31536395612605395, 0.1515151515151537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
Column_1327, 0.31536395612605395, 0.1515151515151537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
Column_2063, 0.31536395612605395, 0.1515151515151537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
Column_252, 0.32748548447955916, 0.149122807017546, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
Column_1816, 0.32748548447955916, 0.149122807017546, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2
Column_2366, 0.3526628463667678, 0.14712918660287266, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2
Column_2303, 0.36571503102351555, 0.1447368421052616, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4
Column_947, 0.36571503102351555, 0.14433811802233054, 0, 0, 0, 0, 2, 0, 0, 0, 0, 6
Column_1819, 0.3790723461446418, 0.14393939393939614, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
Column_2546, 0.39273070794065434, 0.14194577352472282, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
Column_531, 0.40668500491804727, 0.14035087719298056, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0
Column_1095, 0.40668500491804727, 0.13995215311004616, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
Column_1512, 0.4209290251842247, 0.1391547049441807, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3
Column_2866, 0.43545538170557074, 0.13676236044657297, 0, 0, 0, 0, 3, 0, 0, 0, 0, 58
Column_1891, 0.43545538170557074, 0.13636363636363857, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
Column_94, 0.43545538170557074, 0.13636363636363857, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
Column_2036, 0.4653192202251585, 0.13397129186603085, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3
Column_2892, 0.4653192202251585, 0.13317384370016072, 0, 0, 0, 0, 3, 0, 0, 0, 1, 70
Column_3015, 0.511971705298497, 0.128787878787881, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
Column_912, 0.511971705298497, 0.128787878787881, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
Column_1852, 0.511971705298497, 0.128787878787881, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
Column_1877, 0.5279614323123147, 0.12679425837320768, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4
Column_2401, 0.5279614323123147, 0.12679425837320768, 0, 0, 0, 0, 2, 0, 0, 0, 0, 8
Column_2353, 0.560495104473081, 0.12400318979266556, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5
Column_538, 0.5769981385685901, 0.1228070175438577, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0
